,Kcalories,Glucides,Protéines,Lipides
mures-16570,43,9.8,1.44,0.39
nectarine,44,10.55,1.06,0.32
orange,47,11.75,0.94,0.12
orange-avec-peau,63,15.5,1.3,0.3
peche,39,9.54,0.91,0.25
poire-bon-chretien-williams,63,15.01,0.39,0.16
raisin,69,18.1,0.72,0.16
raisin-damerique,67,17.15,0.63,0.35
raisin-muscat,57,13.93,0.81,0.47
zeste-dorange,97,25,1.5,0.2
zeste-de-citron,47,16,1.5,0.3
gateau-des-anges,258,57.8,5.9,0.8
tarte-aux-pommes,265,37.1,2.4,12.5
strudel-aux-pommes,274,41.1,3.3,11.2
tarte-aux-pommes-cuite-au-four-mcdonalds,323,43.62,3.07,15.66
tarte-a-la-creme-de-banane,269,32.9,4.4,13.6
tarte-aux-myrtilles,245,33.5,2.7,11.9
quatre-quarts,388,48.8,5.5,19.9
gateau-au-fromage-et-au-cafe,339,44.3,7,15.2
cheesecake,321,25.5,5.5,22.5
tarte-aux-cerises,270,38.5,2.8,12.2
gateau-au-chocolat-avec-glacage-au-chocolat,389,52.84,3.48,20.05
gateau-au-chocolat,371,53.4,5.3,15.1
tarte-a-la-creme-au-chocolat,304,33.6,2.6,19.4
gateau-au-cafe-a-la-cannelle,418,46.7,6.8,23.3
gateau-de-mais,387,83.4,8.1,2.4
gateau-au-cafe-avec-glacage-au-chocolat,331,53.8,5,10.8
patisserie-danoise-au-fromage,388,31.53,6.41,27.06
patisserie-danoise-a-la-cannelle,397,53.24,5.46,19
patisserie-danoise-aux-fruits,356,47.94,5.06,16.95
patisserie-danoise-aux-noix,430,45.7,7.1,25.2
creme-aux-oeufs,104,11,5.02,4.58
chausson-aux-fruits,316,42.6,3,16.1
gateau-au-cafe-aux-fruits,311,51.5,5.2,10.2
gateau-aux-fruits,324,61.6,2.9,9.1
tarte-au-citron-meringuee,285,39.1,3.8,12.9
mince-pie-tartelette-sucree,289,48,2.6,10.8
tarte-aux-peches,223,32.9,1.9,10
tarte-aux-noix-de-pecan,412,52.2,4.9,22.2
pate-a-tarte-au-chocolat,484,64.48,6.08,22.42
pate-a-tarte-aux-graham-crackers,501,64.3,5.1,24.83
biscuits-chocolat-leader-price,474,70,6.3,18
gache-au-sucre-la-fournee-doree,349,52,7.3,12.5
tarte-aux-pommes-pasquier,235.8333,39.5,2.6667,10
amaretti-du-mattia-artisanal,307,57,8,18
speculoos-tradition-auchan,484,71.6,6.4,18.7
crepes-caramel-beurre-sale-paysan-breton,379,61,5.9,12
biscuit-lu-granola-l-original,496,62.4,7.2,24
gateau-poire-choco-kap,217.3913,37.6812,7.2464,4.3478
choco-magnesium-gerble,480,60,7,23
